City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,28,19,21,0.27,9,36,49,8
阿克苏地区,67,25,81,0.5,28,61,51,7
阿拉善盟,44,11,17,0.4,18,76,86,6
阿勒泰地区,31,10,14,0.25,5,52,60,13
阿里地区,33,0,2,0.3,5,88,64,8
安康,38,19,37,0.57,12,14,24,10
安庆,46,32,45,0.64,19,53,43,6
鞍山,13,5,11,0.74,15,25,24,6
安顺,49,28,48,1.18,25,42,30,22
安阳,26,11,25,1.28,26,38,44,6
白城,25,10,24,0.4,7,34,30,6
百色,44,20,43,0.75,11,17,16,4
白山,17,9,16,0.4,8,21,12,7
白银,41,13,40,0.65,41,39,59,6
保定,47,19,46,0.6,44,12,34,7
宝鸡,31,12,30,0.3,22,39,45,5
保山,25,16,21,0.55,12,32,48,4
包头,30,7,19,0.72,15,50,58,8
巴彦淖尔,24,13,23,0.67,12,52,43,10
巴中,39,22,38,0.78,14,25,35,4
北海,24,6,16,0.53,6,34,47,5
北京,27,7,19,0.38,16,66,53,2
蚌埠,32,5,9,0.32,10,55,63,7
本溪,14,2,5,0.5,9,39,27,5
毕节,45,25,44,0.65,17,26,22,8
滨州,27,0,5,0.7,14,50,53,3
博州,28,9,26,0.15,9,52,54,6
亳州,32,6,8,0.5,5,51,62,2
沧州,20,8,10,0.3,7,42,39,6
长春,22,11,21,0.49,20,22,8,3
常德,36,9,23,0.55,12,54,70,6
昌都,29,8,22,0.7,11,42,57,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,31,15,30,0.73,27,37,39,7
长沙,39,17,29,0.7,16,80,77,5
常熟,32,11,21,0.57,16,69,62,10
长治,43,23,42,0.98,32,48,48,12
常州,35,19,34,0.73,27,67,50,9
朝阳,19,9,14,0.6,7,30,36,15
潮州,38,23,37,0.77,13,47,59,13
承德,26,15,25,0.73,23,37,23,8
成都,60,36,68,1.03,54,33,56,9
郴州,51,20,50,0.75,36,27,23,30
赤峰,29,6,13,0.45,13,51,56,6
池州,46,22,45,0.7,20,43,35,6
重庆,49,26,48,0.95,51,32,43,8
崇左,30,16,29,0.55,16,14,32,5
楚雄州,43,30,35,0.75,33,7,15,15
滁州,56,18,60,0.5,8,78,68,7
大连,35,14,34,0.42,8,66,69,3
大理州,39,17,29,0.65,33,43,76,5
丹东,22,6,9,0.57,10,30,42,4
大庆,19,12,18,0.4,6,33,28,4
大同,31,8,26,1.58,13,58,60,11
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,30,21,16,0.45,8,14,13,4
达州,48,27,47,0.64,45,33,42,14
德宏州,31,15,30,1.0,12,8,10,10
德阳,67,40,82,0.98,46,64,92,13
德州,24,5,5,0.33,5,49,46,4
定西,58,18,63,0.4,38,14,15,10
迪庆州,20,11,19,0.6,11,23,34,15
东莞,39,17,38,0.78,35,28,32,8
东营,26,5,2,0.2,2,51,50,4
鄂尔多斯,28,7,27,0.9,26,45,50,16
恩施州,38,18,37,0.7,16,18,30,3
鄂州,53,23,54,2.0,26,70,60,15
防城港,22,8,21,0.7,14,31,40,14
佛山,25,15,24,0.76,27,33,42,10
抚顺,19,7,9,0.4,8,41,36,8
阜新,22,7,11,0.34,13,33,42,4
阜阳,33,3,10,0.33,18,52,64,2
富阳,42,24,41,1.0,24,32,27,8
福州,40,18,39,0.73,18,35,39,4
抚州,42,26,41,0.76,8,56,51,5
甘南州,29,18,28,0.7,36,18,30,2
赣州,52,30,51,1.24,18,32,31,15
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,19,12,18,0.45,24,26,26,12
广安,43,23,42,0.74,23,35,29,5
广元,32,10,31,0.43,27,18,18,8
广州,30,15,29,0.68,32,29,38,8
贵港,61,30,69,1.05,38,13,34,12
桂林,35,17,34,0.68,23,33,51,10
贵阳,67,35,81,0.9,37,12,10,8
果洛州,37,23,36,0.7,14,38,48,6
固原,53,22,54,0.8,44,30,23,12
哈尔滨,18,7,17,0.52,15,23,15,7
海北州,38,10,19,1.0,18,69,75,7
海东地区,48,33,0,0.5,62,16,26,10
海口,22,9,21,0.58,21,19,28,4
海门,36,14,35,0.83,22,54,49,11
海南州,46,23,0,0.7,26,63,90,9
海西州,81,7,15,0.8,12,124,135,10
哈密地区,78,29,104,0.55,30,51,54,4
邯郸,27,10,20,0.7,23,34,53,3
杭州,33,11,32,0.65,26,24,12,4
汉中,38,14,37,0.63,15,41,42,17
鹤壁,26,16,25,0.53,22,41,44,7
河池,28,9,18,0.67,31,34,55,6
合肥,29,7,17,0.45,13,60,56,3
鹤岗,16,9,15,0.55,5,21,20,5
黑河,31,10,30,0.53,6,19,14,5
衡水,19,9,14,0.3,10,47,37,6
衡阳,59,41,58,0.95,24,31,36,21
和田地区,455,209,554,0.65,6,79,50,13
河源,44,22,43,0.95,22,28,37,7
菏泽,28,7,9,0.55,6,52,55,5
贺州,55,35,57,0.8,14,16,20,8
红河州,53,27,40,0.93,22,26,48,159
淮安,25,4,12,0.52,13,38,48,5
淮北,31,5,7,0.47,6,43,61,3
怀化,60,26,67,1.28,25,23,22,6
淮南,34,5,18,0.4,15,65,67,11
黄冈,56,28,60,1.05,32,52,62,12
黄南州,48,12,23,0.7,4,84,95,4
黄山,24,10,20,0.43,14,56,47,20
黄石,57,29,61,1.05,26,71,56,22
呼和浩特,27,9,20,0.59,21,47,52,7
惠州,26,12,25,0.66,25,39,37,5
葫芦岛,23,7,14,0.5,12,43,45,20
呼伦贝尔,30,9,29,0.35,8,27,21,1
湖州,58,40,55,0.79,43,53,51,12
佳木斯,12,7,11,0.58,8,13,15,3
吉安,55,36,58,0.73,14,45,50,29
江门,33,14,32,0.88,23,32,45,7
江阴,28,8,20,0.97,23,63,55,18
胶南,20,12,16,1.55,19,36,39,5
胶州,28,18,27,0.8,17,29,37,5
焦作,56,38,60,0.82,19,67,72,6
嘉兴,34,19,33,0.87,39,26,35,13
嘉峪关,50,15,39,1.0,32,81,99,33
揭阳,35,20,34,0.68,12,41,46,7
吉林,16,5,15,0.57,12,28,16,6
即墨,20,6,9,0.7,10,41,39,3
济南,22,3,5,0.38,8,39,43,5
金昌,34,4,25,0.8,24,52,66,8
晋城,62,30,72,0.92,39,34,56,10
景德镇,55,26,58,0.86,20,15,8,21
荆门,69,35,85,0.96,29,36,40,6
荆州,52,18,51,1.0,30,35,62,10
金华,50,30,49,0.9,29,32,25,15
济宁,19,2,3,0.4,7,35,37,8
金坛,29,9,26,1.2,15,60,56,10
晋中,57,31,62,0.8,39,27,33,9
锦州,26,5,7,0.38,8,47,51,5
九江,58,29,63,0.72,29,63,64,16
酒泉,48,17,45,0.55,10,90,95,5
鸡西,23,15,22,0.5,12,14,12,5
句容,30,7,15,0.55,11,75,58,6
开封,58,19,64,0.62,12,72,54,5
喀什地区,153,111,253,0.63,34,23,55,6
克拉玛依,37,9,31,0.8,20,64,72,5
克州,132,50,211,0.6,30,52,80,4
库尔勒,100,39,149,0.87,30,38,58,3
昆明,67,43,82,1.25,51,23,25,30
昆山,37,17,36,0.7,27,49,44,10
来宾,53,31,53,1.0,24,24,44,23
莱芜,88,65,99,0.67,18,89,77,10
莱西,23,7,12,0.75,5,46,45,6
莱州,24,9,0,1.1,12,45,46,9
廊坊,22,8,19,0.23,18,56,42,2
兰州,62,18,72,0.92,51,37,38,14
拉萨,33,2,3,0.42,14,65,65,8
乐山,54,29,55,0.9,29,36,24,7
凉山州,36,24,35,0.86,22,49,68,15
连云港,26,5,9,0.72,14,34,51,5
聊城,25,6,0,0.37,9,48,49,5
辽阳,15,7,14,0.48,13,22,20,7
辽源,19,6,8,0.8,14,47,36,6
丽江,30,11,24,0.77,28,47,58,6
临安,31,7,30,0.55,14,9,11,3
临沧,35,24,26,0.85,13,24,31,8
临汾,61,34,69,1.24,32,51,46,22
临夏州,44,18,43,0.55,17,39,46,12
临沂,20,2,5,0.45,10,32,38,4
林芝,19,5,10,0.3,6,36,37,8
林芝地区,18,4,16,0.35,6,51,35,3
丽水,33,18,32,0.67,19,17,8,5
六盘水,41,22,40,0.76,34,70,66,16
柳州,46,24,45,0.88,21,42,51,9
溧阳,29,15,21,1.05,15,68,56,6
陇南,29,13,28,0.55,33,34,45,16
龙岩,46,24,45,0.85,20,14,13,15
娄底,45,26,44,0.64,11,52,42,5
六安,30,5,19,0.53,10,60,58,4
漯河,39,18,38,0.55,18,48,43,9
洛阳,48,30,47,0.81,26,33,51,6
泸州,46,28,45,0.85,33,15,22,13
吕梁,37,11,36,0.7,28,7,4,14
马鞍山,27,6,23,0.78,21,59,52,13
茂名,41,20,40,0.85,17,26,28,17
眉山,38,13,37,0.88,39,10,17,13
梅州,40,21,39,0.87,22,12,8,9
绵阳,59,34,65,0.7,40,53,80,8
牡丹江,15,7,14,0.46,18,18,17,3
南昌,57,30,62,0.7,37,45,58,11
南充,57,35,62,0.77,32,31,26,8
南京,33,5,12,0.53,12,66,64,4
南宁,46,18,45,0.71,33,18,21,7
南平,32,22,27,0.9,14,42,42,9
南通,23,10,22,0.74,21,51,42,13
南阳,50,26,49,1.12,34,71,53,5
那曲地区,46,15,45,0.7,12,35,39,4
内江,45,23,44,0.88,38,16,37,14
宁波,38,19,37,0.75,37,25,23,10
宁德,56,31,59,0.9,21,35,39,7
怒江州,44,18,43,0.7,18,14,19,9
盘锦,19,3,7,0.4,12,36,37,5
攀枝花,65,40,77,1.32,41,17,24,25
蓬莱,24,6,9,0.85,8,47,47,4
平顶山,37,19,36,0.98,25,46,53,8
平度,53,36,41,0.85,12,27,33,7
平凉,18,10,17,0.4,33,36,35,6
萍乡,54,26,56,0.78,24,51,51,29
普洱,19,7,18,0.35,15,10,16,7
莆田,37,17,36,0.75,18,38,43,6
濮阳,23,6,15,0.57,17,40,44,7
黔东南州,40,23,39,0.45,26,13,22,5
黔南州,32,17,31,0.3,17,13,18,8
黔西南州,27,11,26,1.2,30,12,22,31
青岛,20,1,5,0.48,8,41,38,3
庆阳,36,5,32,0.8,18,66,71,9
清远,46,22,45,0.6,38,25,30,18
秦皇岛,25,5,8,0.2,4,47,48,4
钦州,25,7,24,0.63,11,39,39,9
齐齐哈尔,40,16,39,0.33,8,26,23,5
七台河,19,9,18,0.97,17,17,11,4
泉州,39,19,38,0.83,18,40,34,7
曲靖,49,21,48,1.35,34,20,25,16
衢州,48,32,47,0.93,26,29,22,18
日喀则,47,7,46,0.45,11,35,49,3
日喀则地区,29,6,27,0.35,2,68,56,5
日照,16,10,9,0.53,15,23,30,4
荣成,39,6,22,0.75,6,71,77,3
乳山,29,5,6,0.75,8,59,57,5
三门峡,53,21,54,0.85,29,20,19,4
三明,74,53,68,1.45,19,21,10,9
三沙,30,7,20,0.3,30,51,58,6
三亚,12,6,11,0.5,14,30,22,3
上海,24,12,23,0.52,28,53,46,5
商洛,38,15,37,0.4,17,33,46,4
商丘,188,141,139,1.29,30,28,39,9
上饶,42,22,41,0.63,14,20,21,12
山南,31,3,4,0.35,10,64,60,3
山南地区,40,5,21,0.45,6,65,79,4
汕头,31,17,30,0.67,9,53,54,8
汕尾,27,10,17,0.57,9,48,52,6
韶关,47,29,46,0.9,19,21,17,23
绍兴,71,31,89,0.72,18,55,29,5
邵阳,52,33,51,0.66,16,24,19,39
沈阳,15,4,9,0.51,12,35,29,6
深圳,27,15,26,0.62,23,41,49,4
石河子,36,13,35,0.45,25,59,39,8
石家庄,36,17,35,0.85,31,34,37,9
十堰,46,17,45,0.68,16,24,23,6
石嘴山,58,22,64,1.1,35,26,29,25
寿光,20,6,1,0.25,5,38,38,7
双鸭山,17,11,16,0.43,4,9,9,4
朔州,39,6,38,0.76,28,44,45,18
四平,18,9,17,0.5,15,15,7,7
松原,23,13,22,0.75,7,19,20,1
绥化,29,7,28,0.6,9,25,18,5
遂宁,59,31,65,0.83,29,10,10,10
随州,30,7,24,0.83,19,47,59,8
宿迁,25,11,19,0.68,17,36,48,6
苏州,25,10,20,0.56,22,50,49,4
宿州,31,7,10,0.23,5,43,61,4
塔城地区,36,6,35,0.9,15,56,61,3
泰安,15,2,5,0.23,10,23,29,6
太仓,25,11,21,0.5,22,67,49,10
太原,48,17,47,0.59,30,49,40,7
台州,43,29,42,0.43,24,28,34,4
泰州,30,10,18,0.57,17,72,58,4
唐山,18,9,17,1.27,24,26,35,11
天津,52,34,51,0.84,24,72,49,13
天水,32,13,31,0.4,15,39,49,9
铁岭,12,5,7,0.23,11,32,22,7
铜川,23,11,22,0.65,25,42,34,8
通化,17,10,16,0.9,15,18,9,4
通辽,28,15,27,0.37,10,32,37,6
铜陵,53,26,54,1.57,46,25,35,30
铜仁地区,30,6,29,0.7,16,13,20,1
吐鲁番地区,66,31,79,0.75,20,66,78,5
瓦房店,20,9,19,0.65,6,40,34,4
潍坊,19,8,17,0.3,11,23,37,4
威海,32,11,4,0.37,3,59,63,3
渭南,49,13,48,0.6,38,22,28,8
文登,22,5,6,0.7,9,41,43,4
文山州,66,29,80,1.0,19,15,31,16
温州,45,21,44,0.57,27,14,8,7
乌海,28,11,27,0.77,28,27,33,8
武汉,36,15,30,0.8,30,64,71,6
芜湖,31,13,21,0.75,18,63,60,6
吴江,31,11,21,0.85,16,66,61,7
五家渠,76,35,100,0.8,38,6,10,8
乌兰察布,38,17,0,0.55,11,56,74,15
乌鲁木齐,60,27,68,0.77,40,35,31,6
武威,44,14,43,0.65,38,17,33,6
无锡,32,10,23,0.68,15,66,62,5
吴忠,24,11,23,0.47,25,40,43,8
梧州,42,29,37,0.93,26,24,17,22
厦门,43,26,42,0.73,22,28,22,6
西安,47,16,46,0.5,33,28,22,7
湘潭,37,15,31,0.77,22,66,73,4
湘西州,22,10,21,0.87,10,6,10,7
襄阳,33,22,32,0.65,31,36,34,12
咸宁,58,21,63,1.15,16,57,78,4
咸阳,58,23,63,0.84,31,23,20,8
孝感,41,21,27,0.7,12,61,80,7
锡林郭勒盟,20,6,13,0.3,15,30,39,15
兴安盟,30,21,23,0.33,11,34,29,3
邢台,30,9,16,0.75,37,24,58,3
西宁,29,16,25,0.83,28,37,57,12
新乡,38,18,37,0.78,25,18,24,12
信阳,33,18,30,0.55,18,46,64,8
新余,56,31,59,1.05,23,28,28,21
忻州,27,9,26,0.57,18,69,37,11
西双版纳州,23,10,22,0.7,10,4,9,2
宣城,27,15,26,0.57,14,40,42,8
许昌,49,34,39,1.13,21,44,35,10
徐州,25,3,8,0.34,7,38,49,4
雅安,39,21,29,0.45,13,52,77,8
延安,44,22,43,0.55,30,12,9,4
延边州,24,3,9,0.6,13,35,46,5
盐城,36,11,23,0.5,10,65,70,6
阳江,27,5,26,0.83,15,40,42,14
阳泉,62,28,72,1.25,37,21,29,18
扬州,47,14,46,0.52,22,60,60,7
烟台,26,3,6,0.52,7,51,50,5
宜宾,37,17,36,0.66,27,45,42,8
宜昌,27,8,26,0.56,18,31,37,3
宜春,52,29,52,0.71,20,48,47,8
伊春,12,8,5,0.4,3,10,11,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,38,16,37,0.47,27,49,71,10
银川,42,17,41,0.84,29,43,43,23
营口,20,5,10,1.05,16,32,38,3
鹰潭,35,20,34,0.34,11,34,28,6
义乌,53,36,54,0.7,26,40,29,13
宜兴,37,10,19,1.4,9,78,73,6
益阳,44,9,18,0.82,7,76,86,10
永州,42,29,39,0.52,19,44,43,15
岳阳,43,15,20,0.87,16,70,85,6
玉林,39,23,38,0.77,13,29,30,45
榆林,53,21,54,1.05,47,21,16,21
运城,47,18,46,0.76,17,42,40,6
云浮,39,17,38,0.8,34,11,19,22
玉树州,30,6,29,0.2,19,33,41,5
玉溪,55,21,57,1.5,28,22,33,8
枣庄,19,5,9,0.28,6,35,36,8
张家港,35,16,34,0.95,21,54,49,10
张家界,28,8,27,0.6,17,19,32,4
张家口,34,13,17,0.36,6,83,66,4
章丘,24,0,3,0.35,9,44,46,12
张掖,36,14,30,0.25,25,47,70,5
漳州,51,22,50,0.68,26,27,30,10
湛江,21,10,20,0.53,15,29,34,11
肇庆,39,18,38,0.75,32,18,33,12
昭通,64,17,76,1.0,34,29,43,46
招远,24,13,19,0.0,9,44,47,7
郑州,45,24,44,0.82,43,23,22,2
镇江,30,6,20,0.45,10,65,58,6
中山,27,9,18,0.48,15,40,52,9
中卫,56,26,60,1.07,28,53,66,15
周口,29,8,28,0.63,17,37,48,8
舟山,29,15,28,0.53,43,25,45,4
珠海,25,6,15,0.55,10,41,49,3
诸暨,40,27,39,0.75,18,36,20,2
驻马店,23,11,22,0.37,22,48,45,4
株洲,38,26,35,0.71,20,52,53,8
淄博,25,3,5,0.3,8,45,48,7
自贡,57,33,61,0.83,43,20,37,6
资阳,54,28,56,0.82,32,14,21,8
遵义,47,23,46,0.68,29,27,33,8
